2026-06-27 20:30:42 | INFO     | __main__ | ============================================================
2026-06-27 20:30:42 | INFO     | __main__ | PHASE 2 — FinBERT Embedding Generation
2026-06-27 20:30:42 | INFO     | __main__ | Device: mps
2026-06-27 20:30:42 | INFO     | __main__ | ============================================================
2026-06-27 20:30:42 | INFO     | __main__ | Loading aligned dataset from data/processed/aligned_dataset.csv ...
2026-06-27 20:30:42 | INFO     | __main__ | Trading dates to cover: 589
2026-06-27 20:30:42 | INFO     | __main__ | Date range: 2018-01-31 → 2020-06-03
2026-06-27 20:30:42 | INFO     | embeddings.news_processor | Loading news CSV from data/raw/financial_news.csv ...
2026-06-27 20:30:44 | INFO     | embeddings.news_processor | Loaded 1845559 raw rows.
2026-06-27 20:30:45 | INFO     | embeddings.news_processor | After date filter (2018-01-01 → 2020-06-04): 797518 rows remaining.
2026-06-27 20:30:45 | INFO     | embeddings.news_processor | After dropping empty headlines: 797518 rows.
2026-06-27 20:30:45 | INFO     | embeddings.news_processor | Grouped into 886 unique dates. Avg headlines/day: 900.1
2026-06-27 20:30:45 | DEBUG    | embeddings.news_processor | Sample [2018-01-01]: Precious Metals Finish Strong, Investors Eye Silver In 2018; David Morgan: Smart Money [SEP] A Look Back At 2017: Schiff...
2026-06-27 20:30:45 | DEBUG    | embeddings.news_processor | Sample [2018-01-02]: Digital Power High on Acquisition News [SEP] My Stock Picks For 2018 [SEP] Top 20 Gold Mining Stocks For 2018 [SEP] Rexe...
2026-06-27 20:30:45 | DEBUG    | embeddings.news_processor | Sample [2018-01-03]: Is Arbor Realty Trust a Great Stock for Value Investors? [SEP] Washington REIT (WRE) to Acquire Arlington Tower for $250...
2026-06-27 20:30:45 | INFO     | embeddings.embedding_pipeline | Trading dates needed : 589
2026-06-27 20:30:45 | INFO     | embeddings.embedding_pipeline | Dates with news      : 589 (100.0%)
2026-06-27 20:30:45 | INFO     | embeddings.embedding_pipeline | Already cached       : 0
2026-06-27 20:30:45 | INFO     | embeddings.embedding_pipeline | To generate          : 589
2026-06-27 20:30:45 | INFO     | embeddings.finbert_encoder | Loading FinBERT on device: mps
2026-06-27 20:31:58 | INFO     | embeddings.finbert_encoder | FinBERT loaded. Parameters: 109482240 (all frozen).
2026-06-27 20:31:58 | INFO     | embeddings.embedding_pipeline | Generating 589 embeddings...
2026-06-27 20:33:10 | INFO     | embeddings.embedding_pipeline | Embedding index saved to embeddings/embedding_index.json
2026-06-27 20:33:10 | INFO     | embeddings.embedding_pipeline | ==================================================
2026-06-27 20:33:10 | INFO     | embeddings.embedding_pipeline | EMBEDDING COVERAGE REPORT
2026-06-27 20:33:10 | INFO     | embeddings.embedding_pipeline |   Trading days total : 589
2026-06-27 20:33:10 | INFO     | embeddings.embedding_pipeline |   Days with embedding: 589 (100.0%)
2026-06-27 20:33:10 | INFO     | embeddings.embedding_pipeline |   Days missing       : 0
